web-scraper-order,web-scraper-start-url,maillinks,maillinks-href,sublinks,sublinks-href,linkstext
"1586526202-1170","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%B1-%D8%A7%D9%84%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1","1","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%B1-%D8%A7%D9%84%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1#","اخر الاخبار 
                                        
                                        9 آلـيات لعودة العراقيين من الخارج
                                        بغداد/ الصباح
بحث رئيس الوزراء «المستقيل» عادل عبد المهدي، خلال اجتماع تشاوري، الآليات الخاصة بعودة العراقيين من الخارج، داعيا مؤسسات الدولة الى توفير الاستعدادات اللازمة لتلبية متطلباتهم كلّ بحسب","http://alsabaah.iq/23926/9-%D8%A2%D9%84%D9%80%D9%8A%D8%A7%D8%AA-%D9%84%D8%B9%D9%88%D8%AF%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%D9%8A%D9%86-%D9%85%D9%86-%D8%A7%D9%84%D8%AE%D8%A7%D8%B1%D8%AC","ثامنا: تتم المباشرة فورا بإجراءات تسيير الرحلة الأولى بحسب الأولويات التي تحددها وزارتا الخارجية والصحة، وتستمر عملية نقل العراقيين من الخارج"
"1586526220-1237","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%B1-%D8%A7%D9%84%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1","1","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%B1-%D8%A7%D9%84%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1#","اخر الاخبار 
                                        
                                        التربية تطلق منصة تعليميَّة تعملُ بسعة انترنت محدودة
                                        بغداد/ إسراء السامرائي 
أطلقت وزارة التربية منصة «العراق التعليميَّة» التي تعمل بسعات انترنت محدودة من أجل توفير الخدمة الى أكبر عددٍ من الطلبة المستفيدين.","http://alsabaah.iq/23968/%D8%A7%D9%84%D8%AA%D8%B1%D8%A8%D9%8A%D8%A9-%D8%AA%D8%B7%D9%84%D9%82-%D9%85%D9%86%D8%B5%D8%A9-%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A-%D8%A9-%D8%AA%D8%B9%D9%85%D9%84-%D8%A8%D8%B3%D8%B9%D8%A9-%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D9%85%D8%AD%D8%AF%D9%88%D8%AF%D8%A9","وأفاد بأنَّه «بإمكان الطلبة في عموم مناطق البلاد عدا إقليم كردستان الدخول والتصفح في المنصة، وما يميزها فتح الروابط الخاصة بالدروس في وجود خدمة انترنت وإنْ كانت تعمل بسعات أقل مما كانت عليه المنصة الالكترونية السابقة التي كانت تتطلبُ سعات كبيرة نوعاً ما»."
"1586526105-563","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%B1-%D8%A7%D9%84%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1","7","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%B1-%D8%A7%D9%84%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1?page=7","اخر الاخبار 
                                        
                                        لجنة الأمر الديواني تمدّد إيقاف دخول الوافدين من 7 دول
                                        بغداد / المحافظات / مراسلو الصباح      
قرّرت لجنة الامر الديواني المكلفة بمتابعة فيروس كورونا تمديد ايقاف دخول الوافدين من سبع دول موبوءة، واهابت بالمواطنين عدم السفر الى هذه الدول، كما اوصت بعدم السفر الى النجف الاشرف","http://alsabaah.iq/22522/%D9%84%D8%AC%D9%86%D8%A9-%D8%A7%D9%84%D8%A3%D9%85%D8%B1-%D8%A7%D9%84%D8%AF%D9%8A%D9%88%D8%A7%D9%86%D9%8A-%D8%AA%D9%85%D8%AF-%D8%AF-%D8%A5%D9%8A%D9%82%D8%A7%D9%81-%D8%AF%D8%AE%D9%88%D9%84-%D8%A7%D9%84%D9%88%D8%A7%D9%81%D8%AF%D9%8A%D9%86-%D9%85%D9%86-7-%D8%AF%D9%88%D9%84","واوضح خلال المؤتمر الذي حضره مدير عام صحة النجف ان دائرة الصحة حجرت الملامسين للمصاب وعددهم تسعة في مكان خاص لحين التاكد من حالتهم الصحية."
"1586526022-51","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%B1-%D8%A7%D9%84%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1","10","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%B1-%D8%A7%D9%84%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1?page=10","اخر الاخبار 
                                        
                                        إجراءات حكومية مكثفة للوقاية من «كورونا» 
                                        بغداد / عواصم / الصباح والوكالات 
بينما كثفت الجهات الحكومية إجراءاتها للوقاية من خطر فيروس {كورونا} الجديد، وتأكيدات وزارة الصحة سلامة الطلبة العراقيين وأسرهم الموجودين في مدينة ووهان الصينية “بؤرة الفيروس”؛ أ","http://alsabaah.iq/21041/%D8%A5%D8%AC%D8%B1%D8%A7%D8%A1%D8%A7%D8%AA-%D8%AD%D9%83%D9%88%D9%85%D9%8A%D8%A9-%D9%85%D9%83%D8%AB%D9%81%D8%A9-%D9%84%D9%84%D9%88%D9%82%D8%A7%D9%8A%D8%A9-%D9%85%D9%86-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7","من جانبها، أعلنت وزارة الصحة الإماراتية تشخيص إصابة جديدة بفيروس «كورونا»، لدى وافد من مدينة ووهان الصينية، ليبلغ عدد الحالات خمس."
"1586526049-302","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%B1-%D8%A7%D9%84%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1","9","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%B1-%D8%A7%D9%84%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1?page=9","اخر الاخبار 
                                        
                                        العراق يؤبّن القادة الشهداء بأربعينيتهم
                                        بغداد / الصباح
شهدت العاصمة العراقية بغداد وخمس عشرة محافظة، امس الثلاثاء، محافل تأبينية لمناسبة أربعينية القادة الشهداء الحاج أبو مهدي المهندس والحاج قاسم سليماني ورفاقهما، بحضور رسمي واسع، في حين أكد","http://alsabaah.iq/21621/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82-%D9%8A%D8%A4%D8%A8-%D9%86-%D8%A7%D9%84%D9%82%D8%A7%D8%AF%D8%A9-%D8%A7%D9%84%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D8%A8%D8%A3%D8%B1%D8%A8%D8%B9%D9%8A%D9%86%D9%8A%D8%AA%D9%87%D9%85","اما في محافظة المثنى، فقد انطلقت فعاليات الحفل التأبيني بمناسبة اربعينية القادة الشهداء."
"1586526098-526","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%B1-%D8%A7%D9%84%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1","7","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%B1-%D8%A7%D9%84%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1?page=7","اخر الاخبار 
                                        
                                        البرلمان: اعتراضات تواجه إقرار قانون مناهضة العنف الأسري
                                        بغداد / عمر عبد اللطيف
اكدَ نوابٌ استمرار الاعتراضات بشأن قانون مناهضة العنف الاسري، مما قد يحول دون اقراره خلال الدورة البرلمانية الحالية، في حين بينت منظمة مجتمعية ان اقرار هذا","http://alsabaah.iq/22285/%D8%A7%D9%84%D8%A8%D8%B1%D9%84%D9%85%D8%A7%D9%86-%D8%A7%D8%B9%D8%AA%D8%B1%D8%A7%D8%B6%D8%A7%D8%AA-%D8%AA%D9%88%D8%A7%D8%AC%D9%87-%D8%A5%D9%82%D8%B1%D8%A7%D8%B1-%D9%82%D8%A7%D9%86%D9%88%D9%86-%D9%85%D9%86%D8%A7%D9%87%D8%B6%D8%A9-%D8%A7%D9%84%D8%B9%D9%86%D9%81-%D8%A7%D9%84%D8%A3%D8%B3%D8%B1%D9%8A","وبينت ان عددا من الكتل السياسية مازالت متمسكة برأيها في الاعتراض على الكثير من المواد التي جاءت فيه، مشيرةً الى ان المجلس سبق له أن ناقش مشروعي قانون مناهضة العنف الاسري اللذين قدما في عامي 2005 و2017.
	
		واضافت صبري، ان عددا من الاسئلة طرحت في حينها خلال الاجتماعات، منها هل ان العراق بحاجة الى تشريع هذا القانون؟ وهل انه فعلا سيحمي الاسرة بعد تشريعه او لا؟ او انه سيؤدي الى التقليل من هذه الظاهرة في المجتمع؟ وهل سيتم قبول مشروع القانون هذا والذي يرى البعض بانه يتعارض مع تعاليم الدين الاسلامي والاعراف والتقاليد؟.
	
		ونبهت صبري الى ضرورة تعديل قانوني العقوبات ومحكمة الاحوال الشخصية بما يتناسب مع تشريع هذا القانون، لوجود مواد في هذين القانونين تتعارض مع مشروع مناهضة العنف الاسري، ملمحةً الى ضرورة ان يكون هناك وعي مجتمعي بخطورة ظاهرة العنف الاسري على البناء الاسري، واقرار قانون على ان تكون اليات تطبيقه وتنفيذه هي الاهم.
	
		الى ذلك اقامت منظمة نايا للتدريب الاعلامي ورشة حوارية حول مقترح قانون مناهضة العنف الاسري وابرز المعوقات التي تحول دون اقراره في مجلس النواب.
	
		حيث تناولت الورشة شرحاً مفصلا عن مضمون مسودة القانون والمعوقات التي حالت دون اقراره من قبل البرلمان رغم اهميته نتيجة زيادة حالات العنف ضد المرأة والاطفال والرجال على حد سواء في المجتمع.
	
		وقال رئيس مركز نايا ياسر اسماعيل خلال الورشة التي اقيمت بالتعاون مع منظمة “انتر نيوز”: ان اقرار القانون اصبح ضرورة ملحة للحد من ظاهرة “العنف الاسري” الذي يشكل خطرا كبيرا على المجتمع ولا سيما ان اقراره سيضمن تماسك الاسرة وتحقيق الاستقرار في المجتمع.
	
		واوضح اسماعيل ان الحد من الظاهرة او مكافحتها يحتاجان الى تكاتف الجهود لاجراء حملات توعوية حول القانون ومن هي الفئات المشمولة ببنوده.
	
		بدورها, اوضحت القانونية طيبة التميمي ان تشريع القانون يعيد التوازن بين الرجل والمراة ويضمن استمرار الحياة الزوجية ويحافظ على النسيج المجتمعي من التفكك ويسهم ببناء جيل يعي مسؤولياته تجاه المجتمع والفرد.
	
		واضافت ان مقترح القانون تضمن كل فعل او امتناع عن فعل او التهديد بأي منهما يرتكب داخل الاسرة يترتب عليه ضرر مادي او معنوي يعد جريمة وفق القانون وهذا ما استقرت عليه التعديلات الاخيرة، لافتة الى ان القانون شهد مناقشات داخل مجلس النواب ولقاءات مستفيضة مع كتل وتيارات مختلفة من اجل الدفع نحو اقراره.
	
		وشهدت الورشة نقاشات مستفيضة حول القانون للخروج بتوصيات تساعد على المضي بتشريعه داخل البرلمان العراقي.
	
		وما زال العنف الأسري مشكلة كبيرة في العراق حيث تتعرض واحدة من كل 5 نساء عراقيات للعنف الأسري البدني,في حين يحظر الدستور العراقي كل أشكال العنف والتعسف في الأسرة."
"1586526031-185","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%B1-%D8%A7%D9%84%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1","10","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%B1-%D8%A7%D9%84%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1?page=10","اخر الاخبار 
                                        
                                        الحمداني لـ «     الصباح    »: الأرشيفان «العراقي»  و«الأنفال» عائدان في 2021 
                                        بغداد / عمر عبد اللطيف
كشفَ وزيرُ الثقافةِ والسياحةِ والآثارِ الدكتور عبد الامير الحمداني عن أن الارشيفين “العراقي” و”الانفال” سيعادان الى العراق العام المقبل، بينما أكد استكمال خطة إدارة وصيانة المواقع بمدينة بابل الأثرية؛ أعلن ف","http://alsabaah.iq/21395/%D8%A7%D9%84%D8%AD%D9%85%D8%AF%D8%A7%D9%86%D9%8A-%D9%84%D9%80-%D8%A7%D9%84%D8%B5%D8%A8%D8%A7%D8%AD-%D8%A7%D9%84%D8%A3%D8%B1%D8%B4%D9%8A%D9%81%D8%A7%D9%86-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A-%D9%88-%D8%A7%D9%84%D8%A3%D9%86%D9%81%D8%A7%D9%84-%D8%B9%D8%A7%D8%A6%D8%AF%D8%A7%D9%86-%D9%81%D9%8A-2021","وذكر الكعبي في بيان التهنئة: “أبارك للعراق بشعبه وحضارته وتأريخه العريق، إدراج (توفير الخدمات والضيافة خلال الزيارة الأربعينية)، و(نخيل التمر وكل ما يتعلق به من جميع المهارات والممارسات)، في قائمة التراث الثقافي الانساني غير المادي”."
"1586526024-99","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%B1-%D8%A7%D9%84%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1","10","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%B1-%D8%A7%D9%84%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1?page=10","اخر الاخبار 
                                        
                                        رئاسة البرلمان: إعادة أبنائنا من الصين أولوية قصوى
                                        بغداد / عواصم / الصباح والوكالات 
شددَ النائب الأول لرئيس مجلس النواب حسن كريم الكعبي على السلطة التنفيذية بأن يكون للطلبة العراقيين وذويهم في الصين أولوية قصوى، والعمل على إعادتهم بشكل مستعجل مع الأخذ بعين الاعتبار جميع","http://alsabaah.iq/21112/%D8%B1%D8%A6%D8%A7%D8%B3%D8%A9-%D8%A7%D9%84%D8%A8%D8%B1%D9%84%D9%85%D8%A7%D9%86-%D8%A5%D8%B9%D8%A7%D8%AF%D8%A9-%D8%A3%D8%A8%D9%86%D8%A7%D8%A6%D9%86%D8%A7-%D9%85%D9%86-%D8%A7%D9%84%D8%B5%D9%8A%D9%86-%D8%A3%D9%88%D9%84%D9%88%D9%8A%D8%A9-%D9%82%D8%B5%D9%88%D9%89","تسابق الصين الزمن لمحاصرة فيروس ""كورونا"" الجديد، الذي تسبب حتى الآن في مقتل ما يزيد على 361 شخصا من أصل أكثر من 17 ألف مصاب، وانتشر في دول عدة."
"1586526116-642","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%B1-%D8%A7%D9%84%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1","6","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%B1-%D8%A7%D9%84%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1?page=6","اخر الاخبار 
                                        
                                        إعادة فتح العتبة العلوية أمام الزائرين وتعفير الأماكن المقدسة في كربلاء
                                        بغداد / المحافظات / مراسلو الصباح      
أعادت السلطات المحلية في النجف الاشرف، افتتاح العتبة العلوية المقدسة أمام الزائرين بعد غلقها اثر تسجيل حالة اصابة بفايروس كورونا في المحافظة، بينما نفذت الاجهزة المعنية في","http://alsabaah.iq/22723/%D8%A5%D8%B9%D8%A7%D8%AF%D8%A9-%D9%81%D8%AA%D8%AD-%D8%A7%D9%84%D8%B9%D8%AA%D8%A8%D8%A9-%D8%A7%D9%84%D8%B9%D9%84%D9%88%D9%8A%D8%A9-%D8%A3%D9%85%D8%A7%D9%85-%D8%A7%D9%84%D8%B2%D8%A7%D8%A6%D8%B1%D9%8A%D9%86-%D9%88%D8%AA%D8%B9%D9%81%D9%8A%D8%B1-%D8%A7%D9%84%D8%A3%D9%85%D8%A7%D9%83%D9%86-%D8%A7%D9%84%D9%85%D9%82%D8%AF%D8%B3%D8%A9-%D9%81%D9%8A-%D9%83%D8%B1%D8%A8%D9%84%D8%A7%D8%A1",""
"1586526060-343","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%B1-%D8%A7%D9%84%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1","8","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%B1-%D8%A7%D9%84%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1?page=8","اخر الاخبار 
                                        
                                        الحشد يعلن العثور على أوكار لـ {داعش} 
                                        بغداد / الصباح
تواصلُ القواتُ الامنية عمليات البحثِ عن الارهابيين الفارين، اذ أعلن الحشد الشعبي، أمس السبت، العثور على اوكار لفلول عصابات  داعش الاجرامية بعملية امنية شرق خانقين في ديالى، في حين تمكنت وزارة الداخلية،","http://alsabaah.iq/21824/%D8%A7%D9%84%D8%AD%D8%B4%D8%AF-%D9%8A%D8%B9%D9%84%D9%86-%D8%A7%D9%84%D8%B9%D8%AB%D9%88%D8%B1-%D8%B9%D9%84%D9%89-%D8%A3%D9%88%D9%83%D8%A7%D8%B1-%D9%84%D9%80-%D8%AF%D8%A7%D8%B9%D8%B4","الى ذلك، نفذت قيادة عمليات الرافدين، عملية امنية استباقية واسعة النطاق في بادية الناصرية، باسناد طيران الجيش؛ لتفتيش البادية ومنع تسلل العناصر الارهابية الى المحافظات الجنوبية و محافظة ذي قار."
